Region_Name,Mean_Abs_SHAP,Mean_SHAP,SHAP_STD
Thal_MDl_L,0.012124817259085676,0.000371662313568091,0.017436254586734284
Thal_VL_R,0.011999299940819034,2.5456979763855308e-05,0.014913307770165833
Pallidum_L,0.010751131657966984,-0.0007479753207171233,0.01362224135380683
Thal_VPL_L,0.010111824549328404,0.0002652372215495451,0.013952662140448276
Thal_PuM_R,0.009484303075104922,-0.0004656079280439571,0.011883142077716177
Precuneus_R,0.009208459148118447,0.00037228845127115307,0.012329457779464096
Cerebellum_6_L,0.009002904187163851,0.00012285650513182481,0.01135999999650481
Cerebellum_4_5_L,0.008917735348524945,0.00012297735105060173,0.011708606766283304
Thal_PuM_L,0.008855179972534771,2.873076406767608e-05,0.01184577644367659
Thal_PuA_L,0.008838745477880714,7.181946234612934e-05,0.01165894385205276
Insula_R,0.008808226299803861,-0.0007166959016783926,0.010582903750433692
Putamen_L,0.008734311928606743,-0.00036406574244964257,0.010962146570043161
Vermis_3,0.008309383800068581,-0.0006007981639495569,0.0111959760734304
Putamen_R,0.007783948513057896,-0.0004133635651981642,0.010163967709960137
Thal_IL_L,0.007049173534402098,-8.105573895723486e-05,0.009891081856544429
