Region_Name,Mean_Abs_SHAP,Mean_SHAP,SHAP_STD
Insula_R,0.02279068412433169,-0.001595303577091265,0.030860580099697787
Pallidum_R,0.017986545154982585,0.0009179074238202363,0.02729542828100923
Thal_VL_R,0.01599068944525215,0.00032150679082909583,0.02480041180142966
Rolandic_Oper_R,0.014133601236202097,-0.00030156860833958226,0.02066577614697459
Vermis_3,0.01142133857553022,-0.0021592324257960612,0.018717331143930406
Cerebellum_6_L,0.011378154639509034,0.0012664229643822881,0.016341229278641272
Pallidum_L,0.010224426610337055,0.00015075422547813607,0.015902228290767935
Cerebellum_4_5_R,0.009785605726648591,-0.00034699779664933877,0.013041707385162539
Thal_VPL_L,0.008586703517872564,-0.0003392607892270518,0.012516200075218881
Cingulate_Mid_L,0.007481890982493905,-0.0014161903167689313,0.009592506990178742
Cerebellum_4_5_L,0.006101653168720411,0.00023491177804658127,0.010482963669571304
Thal_VL_L,0.005908317017440022,-0.00030498505458845276,0.008474738453504186
Postcentral_L,0.005881412614642707,0.00040743998730435725,0.009194047927275328
Cerebellum_3_R,0.005848428788137759,0.0003769455326408286,0.009912001461188083
Thal_PuA_L,0.005818486303275314,1.1866806307083734e-05,0.008323741537827004
Thal_MDm_L,0.005663447799349111,-4.220488897499574e-05,0.00879838648106035
Putamen_R,0.005257573051955621,-0.00033094685579274324,0.008471746881862864
Thal_IL_L,0.004380696772277808,6.830598759740718e-05,0.006876264096867576
Putamen_L,0.0038466418920343167,0.00010641451005191589,0.006295167122133919
Fusiform_R,0.003706410020802931,2.9858026099290848e-05,0.0056774415207417874
Supp_Motor_Area_L,0.003401371297290191,-0.00040095773615941404,0.004808310864682404
Precentral_L,0.0032486200560534542,3.1863953167226276e-05,0.0046712989808786526
OFClat_R,0.003009573902396794,7.03555426102151e-05,0.004752492390124763
Thal_PuM_R,0.003003760815375032,5.975520784970913e-05,0.004625932799831372
Vermis_4_5,0.0028854789260895617,8.578832237275966e-05,0.004885024660750301
